,University,Website
58,Addis Ababa Science & Technology University,www.aastu.org
59,Addis Ababa University,www.aau.edu.et
60,Adekunle Ajasin University,www.aaua.edu.ng
61,Adeleke University,www.adelekeuniversity.edu.ng
62,Adeyemi College of Education,www.aceondo-ng.com
63,Adiban Higher Education Institue,www.adiban.ac.ir
64,Adigrat University,www.adu.edu.et
65,Adnan Menderes University,www.adu.edu.tr
66,Advance Tertiary College,www.atc2u.com
67,Adventist University of Africa,www.aua.ac.ke
68,Adventist University of Central Africa,www.auca.ac.rw
69,Adventist University of the Philippines,www.aup.edu.ph
70,Adygeja State University,www.adygnet.ru
71,Aegean University,www.aegean.gr
72,Afe Babalola University,www.abuad.edu.ng
73,Afeka Tel Aviv Academic College of Engineering,www.afeka.ac.il
74,Afghan University,www.afghanuniversity.edu.af
75,Africa International University,www.aiu.ac.ke
76,Africa Nazarene University,www.anu.ac.ke
77,African University of Science and Technology,www.aust-abuja.org
78,African Virtual University,www.avu.org
79,Africa University,www.africau.edu
80,Afyon Kocatepe University,www.aku.edu.tr
81,Aga Khan University,www.aku.edu
86,Agder University College,www.hia.no
87,AGH University of Science and Technology,www.agh.edu.pl
88,Agricultural-Technical Academy in Olsztyn,www.art.olsztyn.pl
89,Agricultural University of Athens,www.aua.gr
90,Agricultural University of Cracow,www.ar.krakow.pl
91,Agricultural University of Georgia,www.agruni.edu.ge
92,Agricultural University of Lublin,www.ar.lublin.pl
93,Agricultural University of Norway,www.nlh.no
94,Agricultural University of Plovdiv,www.au-plovdiv.bg
95,Agricultural University of Poznan,www.au.poznan.pl
96,Agricultural University of Szczecin,www.ar.szczecin.pl
97,Agricultural University of Tirane,www.ubt.edu.al
98,Agricultural University of Warsaw,www.sggw.waw.pl
99,Agricultural University of Wroclaw,www.ar.wroc.pl
100,Agriculture and Forestry University,www.afu.edu.np
101,AgroParisTech,www.agroparistech.fr
102,Ahfad University for Women,www.ahfad.edu.sd
103,Ahi Evran University,www.ahievran.edu.tr
104,Ahlulbait International University,www.ahlulbaitonline.com
105,Ahmadu Bello University,www.abu.edu.ng
106,Ahmedabad University,www.ahduni.edu.in
107,Ahsanullah University of Science & Technology,www.aust.edu
108,Ahvaz University of Medical Sciences,www.aums.ac.ir
109,Ahwaz Jondishapour University of Medical Sciences,www.ajums.ac.ir
110,Aichi Bunkyo University,www.abu.ac.jp
111,Aichi Gakuin University,www.aichi-gakuin.ac.jp
112,Aichi Gakusen University,www.gakusen.ac.jp
113,Aichi Institute of Technology,www.aitech.ac.jp
114,Aichi Medical University,www.aichi-med-u.ac.jp
115,Aichi Prefectural University,www.aichi-pu.ac.jp
116,Aichi Prefectural University of Fine Arts & Music,www.aichi-fam-u.ac.jp
117,Aichi Sangyo University,www.asu.ac.jp
118,Aichi Shukutoku University,www.aasa.ac.jp
119,Aichi University,www.aichi-u.ac.jp
120,Aichi University of Education,www.aichi-edu.ac.jp
121,Aikoku Gakuen University,www.aikoku-u.ac.jp
122,Aimst University,www.aimst.edu.my
123,Ain Shams University,www.shams.edu.eg
124,Air University,www.au.edu.pk
125,AISECT University,www.aisectuniversity.ac.in
126,AISTEDA,www.aistedaab.ro
127,Ajayi Crowther University,www.acu.edu.ng
128,Ajman University of Science & Technology,www.ajman.ac.ae
129,Ajou University,www.ajou.ac.kr
130,Akademia Podlaska,www.ap.siedlce.pl
131,Akademie der bildenden Künste Wien,www.akbild.ac.at
132,"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",www.akad.de
133,Akaki Tsereteli State University,www.atsu.edu.ge
134," Akanu Ibiam Federal Polytechnic, Unwana",www.polyunwana.net
135,Akdeniz University,www.akdeniz.edu.tr
136,Akhbar El Yom Academy,www.akhbaracademy.edu.eg
137,Akita University,www.akita-u.ac.jp
138,Akita University of Economics and Law,www.akeihou-u.ac.jp
139,Aklan Catholic College,www.acc.edu.ph
140,"Akrofi-Christaller Institute of Theeology, Mission and  Culture",www.acighana.org
141,Aksum University,www.aku.edu.et
142,Aktau State University,www.aktsu.kz
143,Akwa Ibom State University of Technology,www.akutech.edu.ng
144,Alagappa University,www.alagappauniversity.ac.in
145,Alahgaff University,www.ahgaff.edu
146,Al Ahlia University,www.ahliauniversity.org
147,Al-Ahliyya Amman University,www.ammanu.edu.jo
148,Alain University of Science and Technology,www.alainuniversity.ac.ae
149,Al Akhawayn University,www.aui.ma
150,Al al-Bayt University,www.aabu.edu.jo
151,Al-Aqsa University,www.alaqsa.edu.ps
152,Al-Asmarya University for Islamic Studies,www.asmarya.edu.ly
153,Al Azhar University,www.azhar.edu.eg
154,Al-Azhar University of Gaza,www.alazhar.edu.ps
155,Al-Baath University,www.albaath-univ.edu.sy
156,Al-baha University,www.bu.edu.sa
157,Al-Balqa Applied University,www.bau.edu.jo
158,Al-Batterjee Medical College,www.bmcmedcollege.com
159,Albert-Ludwigs-Universität Freiburg,www.uni-freiburg.de
160,Al-Birony University,www.au.edu.af
161,Al-Bukhari International University,www.aiu.edu.my
162,Al-Buraimi University College,www.buc.edu.om
163,Aleksander Gieysztor School of Humanities in Pultusk,www.wsh.edu.pl
164,Aleksander Zelwerowicz State Theatre Academy,www.at.edu.pl
165,Al-Eman University,www.jameataleman.org
166,Aletheia University,www.au.edu.tw
167,Alexandria University,www.alex.edu.eg
168,Alfaisal University,www.alfaisal.edu
169,Al Falah University,www.afu.ac.ae
170,Al-Farabi Kazakh National University,www.kaznu.kz
171,Al Fashir University,www.fashir.edu.sd
172,Alfred Nobel University of Economics and Law ,www.duep.edu
173,Al Ghurair University,www.agu.ae
174,Algonquin College,www.algonquincollege.com
175,Alhamd Islamic University,www.aiu.edu.pk
176,Al-hikmah University,www.alhikmah.edu.ng
177,Alhosn University,www.alhosnu.ae
178,Al Hussein Bin Talal University,www.ahu.edu.jo
179,Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,www.asfh-berlin.de
180,Aligarh Muslim University,www.amu.ac.in
181,Al Imam Al-Ouzai University,www.wakf.org
182,Al-Imam Mohamed Ibn Saud Islamic University,www.imamu.edu.sa
183,Al-Islah University,www.islahonline.org
184,Al-Isra University,www.isra.edu.jo
185,Al-Jabal Al-Gharbi University,www.jgu.edu.ly
186,Aljouf University,www.ju.edu.sa
187,Al-Khair University,www.alkhair.edu.pk
188,Alkharj University,www.ku.edu.sa
189,Al Khawarizmi International College,www.khawarizmi.com
190,"Allahabad Agricultural Institute, Deemed University",www.aaidu.org
191,Allahabad University,www.alldunivpio.org
192,Allama Iqbal Open University,www.aiou.edu.pk
193,Allameh Tabatabaie University,www.atu.ac.ir
194,Allianze College of Medical Sciences (ACMS),www.acms.edu.my
195,All India Institute of Medical Sciences,www.aiims.ac.in
196,All Nations University College,www.anuc.edu.gh
197,All Saints University School of Medicine,www.allsaintsuniversity.org
198,Al Maarif University College,www.auc-edu.org
199,Al Madinah International University,www.mediu.edu.my
200,Al Mamon University College,www.almamonuc.org
201,Al-Manar University,www.mut.edu.lb
202,Al Mansour University College,www.muc.edu.iq
203,Almustafa Open University,www.almustafaou.ir
204,Al Muthanna University,www.uoalmuthana.edu.iq
205,Al Nahrain University,www.nahrainuniv.edu.iq
206,Al-Nasser University,www.al-edu.com
207,Alpha Omega University,www.alphaomega.edu.pk
208,Al-Quds Open University,www.qou.edu
209,Al-Quds University - The Arab University in Jerusalem,www.alquds.edu
210,Al Rafidain University College,www.coalrafidain.edu.iq
211,Al Rasheed University College,www.alrasheed-uc.com
212,Alsadrain University,www.alsadrain.org
213,Altai State Medical University,www.asmu.ru
214,Altai State Technical University,www.astu.secna.ru
215,Altai State University,www.asu.ru
216,Al Turath University College,www.turathun.com
217,Al-Wataniya Private University,www.wpu.edu.sy
218,Al-Yamamah College,www.alyamamah.edu.sa
219,Al Yarmouk University College,www.yu.edu.jo
220,Al-Zaiem Al-Azhari University,www.aau.edu.sd
221,Al-Zaytoonah University,www.alzaytoonah.edu.jo
222,Ama International University,www.amaiu.edu.bh
223,Ama University,www.ama.edu.ph
224,Ambo University,www.ambou.edu.et
225,Ambrose Alli University,www.aauekpoma.edu.ng
226,American College Of Dubai,www.acd.ac.ae
227,American College of Greece,www.acg.gr
228,American College of Thessaloniki,www.act.edu
229,American Graduate School in Paris,www.ags.edu
230,American InterContinental University - London,www.aiuniv.edu
231,American International University - Bangladesh,www.aiub.edu
232,American International University West Africa,www.aiu.edu.gm
233,Americanos College,www.ac.ac.cy
234,American University,www.aubih.ba
235,American University College of Technology,www.aut.edu
236,"American University Extension, Okinawa",www.aue-okinawa.ac.jp
237,American University in Bulgaria,www.aubg.bg
238,American University in Cairo,www.aucegypt.edu
239,American University in Dubai,www.aud.edu
240,American University in the Emirates,www.aue.ae
241,American University of Afghanistan,www.auaf.edu.af
242,American University of Antigua,www.auamed.org
243,American University of Armenia,www.aua.am
244,American University of Beirut,www.aub.edu.lb
245,American University of Central Asia,www.auca.kg
246,"American University of Hawaii, Punjab Campus",www.auh.edu.pk
247,"American University of Iraq, Sulaimani (Kurdistan Region)",www.auis.edu.iq
248,American University of Kuwait ,www.auk.edu.kw
249,American University of Middle East,www.aum.edu.kw
250,American University of Paris,www.aup.fr
251,American University of Science and Technology,www.aust.edu.lb
252,American University of Sharjah,www.aus.edu
253,American University of the Caribbean,www.auchaiti.org
254,"American University of the Caribbean, School of Medicine",www.aucmed.edu
256,American University of Tirana,www.uat.edu.al
257,Amirkabir College of Managmant & Technology,www.acmt.ac.ir
258,Amirkabir University of Technology,www.aut.ac.ir
259,Amity University,www.amity.edu
260,Amman Arab University for Higher Studies,www.aau.edu.jo
261,Amman University,www.amman.edu
262,Amoud University,www.amouduniversity.org
263,Amravati University,www.amtuni.com
264,Amrita Vishwa Vidyapeetham (Deemed University),www.amrita.edu
265,Amur State University,www.amursu.ru
266,Anadolu University,www.anadolu.edu.tr
267,Anambra State University of Science and Technology,www.ansu.edu.ng
268,Andhra University,www.andhrauniversity.info
269,Andong National University,www.andong.ac.kr
270,Andrassy Gyula German Speaking University Budapest,www.andrassyuni.hu
271,Andrzej Frycz Modrzewski Cracow College,www.ksw.edu.pl
272,Angeles University,www.auf.edu.ph
273,Angkor University,www.angkor.edu.kh
274,Anglia Ruskin University,www.anglia.ac.uk
275,Anglo-American University,www.aauni.edu
276,Anhui Medical University,www.ahmu.edu.cn
277,Anhui Normal University,www.ahnu.edu.cn
278,Anhui Technical College of Water Resources and Hydroelectric Power,www.ahsdxy.ah.edu.cn
279,Anhui University,www.ahu.edu.cn
280,Anhui University of Finance and Economics,www.aufe.edu.cn
281,Anhui University of Traditional Chinese Medicine,www.ahtcm.edu.cn
282,Ankara University,www.ankara.edu.tr
283,An-Najah National University,www.najah.edu
284,Annamalai University,www.annamalaiuniversity.ac.in
285,Anna University,www.annauniv.edu
286,"Anna University of Technology, Tirunelveli",www.annauniv.edu.in
287,Anton Bruckner Privatuniversität ,www.bruckneruni.at
288,Anton de Kom University,www.uvs.edu
289,Aomori Chuoh Gakuin University,www.aomoricgu.ac.jp
290,Aomori Public College,www.nebuta.ac.jp
291,Aomori University,www.aomori-u.ac.jp
292,Aomori University of Health and Welfare,www.auhw.ac.jp
293,Aoyama Gakuin University,www.aoyama.ac.jp
294,Applied Science University,www.asu.edu.jo
295,Applied Science University,www.asu.edu.bh
296,AP University College,www.ap.be
297,Aquinas University,www.aquinas-university.edu
298,Arab Academy for Banking and Financial Sciences,www.aabfs.org
299,Arab Academy for Science & Technology,www.aast.edu
300,Arab American University - Jenin,www.aauj.edu
301,Arab European University,www.aiu.edu.sy
302,Arabian Gulf University,www.agu.edu.bh
303,Arab Open University,www.aou.org.bh
304,Arab Open University,www.aou.edu.eg
305,Arab Open University,www.aou.edu.jo
306,Arab Open University,www.arabou-lb.edu.lb
307,Arab Open University,www.arabou.org.sa
308,Arab Open University,www.aou.edu.om
309,"Arab Open University, Kuwait Branch",www.aou.edu.kw
310,Arak University,www.araku.ac.ir
311,Arak University of Medical Sciences,www.arakmu.ac.ir
312,Arak University of Technology,www.arakut.ac.ir
313,Araullo University,www.aupen.edu.ph
314,Arba Minch University,www.amu.edu.et
315,Ardabil University of Medical Sciences,www.arums.ac.ir
316,Arellano University,www.arellano.edu.ph
317,Arhangelsk State Technical University,www.agtu.ru
318,Aria Institute of Higher Education,www.aria.edu.af
319,Ariana Institute of Higher Education,www.ariana.edu.af
320,Arid Agriculture University,www.uaar.edu.pk
321,Ariel University Center of Samaria,www.ariel.ac.il
322,Aristotle University of Thessaloniki,www.auth.gr
323,Armed Forces Academy of General Milan Rastislav Štefánik,www.aos.sk
324,Armenian State Agrarian University,www.asau.am
325,Armenian State University of Economics,www.asue.am
326,Arthur C Clarke Institute of Modern Technologies,www.accimt.ac.lk
327,"Arts, Sciences and Technology University",www.aul.edu.lb
328,Art University,www.art.ac.ir
329,ARYA Institute of Engineering & Technology,www.aryainstitutejpr.com
330,Asahikawa Medical College,www.asahikawa-med.ac.jp
331,Asahikawa University,www.asahikawa-u.ac.jp
332,Asahi University,www.asahi-u.ac.jp
333,Asa University Bangladesh,www.asaub.edu.bd
334,Ashesi University,www.ashesi.edu.gh
335,Ashikaga Institute of Technology,www.ashitech.ac.jp
336,Ashiya University,www.ashiya-u.ac.jp
337,Ashkelon Academic College,www.ash-college.ac.il
338,Ashton College,www.ashtoncollege.com
339,Asia E University,www.aeu.edu.my
340,Asia Europe University,www.aeu.edu.kh
341,Asian Business School,www.abs.edu.in
342,Asian Institute of Technology,www.ait.ac.th
343,Asian Management Institute,www.ami.edu.pk
344,Asian Medical Institute,www.asmi.edu.kg
345,Asian University of Bangladesh,www.aub-bd.org
346,Asian University of Science and Technology,www.asianust.ac.th
347,Asia Pacific Institute of Information Technology (APIIT),www.apiit.edu.my
348,Asia Pacific Institute of Information Technology Pakistan (APIIT PAK),www.apiit.edu.pk
349,Asia University,www.asia-u.ac.jp
350,Assam Agricultural University,www.aau.ac.in
351,Assam University,www.assamuniversity.nic.in
352,Assiut University,www.aun.edu.eg
353,Assosa University,www.asu.edu.et
354,Assumption University,www.assumptionu.ca
355,Assumption University of Thailand,www.au.edu
356,Aston University,www.aston.ac.uk
357,Astrahan State Medical Academy,agma.astranet.ru
358,Astrahan State Technical University,www.astu.org
359,Astrakhan State University,www.aspu.ru
360,Atatürk University,www.atauni.edu.tr
361,Ateneo de Davao University,www.addu.edu.ph
362,Ateneo de Manila University,www.admu.edu.ph
363,Ateneo de Naga University,www.adnu.edu.ph
364,Ateneo de Zamboanga University,www.adzu.edu.ph
365,Athabasca University,www.athabascau.ca
366,Athenaeum Pontificium Regina Apostolorum,www.upra.org
367,Athens Graduate School of Management (AGSM),www.agsm.gr
368,Athens Laboratory of Business Administration (ALBA),www.alba.edu.gr
369,Athens School of Fine Arts,www.asfa.gr
370,Athens University of Economics and Business,www.aueb.gr
371,Athlone Institute of Technology,www.ait.ie
372,Atilim University,www.atilim.edu.tr
373,Atish Dipankar University,www.atishdipankaruniversity.edu.bd
374,Atomi College,www.atomi.ac.jp
375,Atyrau State University,www.atgu.kz
376,Auchi Polytechnic,www.auchipoly.edu.ng
377,Auckland University of Technology,www.aut.ac.nz
378,Augustana Hochschule Neuendettelsau,www.augustana.de
379,Augustana University College,www.augustana.ab.ca
380,Australian Catholic University,www.acu.edu.au
381,Australian Correspondence Schools,www.acs.edu.au
382,Australian Defence Force Academy,www.adfa.oz.au
383,Australian Lutheran College,www.alc.edu.au
384,Australian Maritime College,www.amc.edu.au
385,Australian National University,www.anu.edu.au
386,Australlian College of Kuwait ,www.ackonline.com
387,Avans Hogeschool,www.avans.nl
388,Aventis School of Management,www.aventis.edu.sg
389,Avicenna International College,www.avicenna.hu
390,Avinashilingam Institute for Home Science and Higher Education for Women,www.tnuniv.ac.in
391,Avondale College,www.avondale.edu.au
392,Awadhesh Pratap Singh University,www.apsurewa.nic.in
393,Azabu University,www.azabu-u.ac.jp
394,Azad Jammu and Kashmir University,www.ajku.edu.pk
395,Azerbaijan Diplomatic Academy,www.ada.edu.az
396,Azerbaijan International University,www.abu.az
397,Azerbaijan Medical University,www.amu.edu.az
398,Azerbaijan National Conservatorie,www.conservatory.az
399,Azerbaijan State Economic University,www.aseu.az
400,Azerbaijan State Oil Academy,adna.jis.az
401,Azerbaijan Technical University,www.aztu.az
402,Azerbaijan Technology University,www.aztu.edu.az
403,Azerbaijan Toursim Institute,www.tourism.edu.az
404,Azerbaijan University,www.au.edu.az
405,Azerbaijan University ol Languages,www.adu.edu.az
406,Azzahra University,www.azzahra.ac.ir
407,Babasaheb Bhimrao Ambedkar University,www.bbauindia.org
408,Babcock University,www.babcockuni.edu.ng
409,Babes-Bolyai University of Cluj-Napoca,www.ubbcluj.ro
410,Babol Noshirvani University of Technology,www.nit.ac.ir
411,Babol University of Medical Sciences,www.mubabol.ac.ir
412,Badakhshan University,www.badakhshan.edu.af
413,Baghdad College of Economic Sciences University,www.baghdadcollege.edu.iq
414,Baghdad College of Pharmacy,www.bpc.edu.iq
415,Baghlan University,www.baghlan.edu.af
416,Baghyatoolah Medical Sciences University,www.bmsu.ac.ir
417,Baha'i Institute for Higher Education,www.bihe.org
418,"Bahauddin Zakariya University, Multan",www.bzu.edu.pk
419,Bahcesehir University,www.bahcesehir.edu.tr
420,Bahir Dar University,www.bdu.edu.et
421,Bahrain Polytechnic,www.polytechnic.bh
422,Bahria University,www.bahria.edu.pk
423,Baikal National University of Economics and Law,www.isea.ru
424,Baika Women's College,www.baika.ac.jp
425,Baiko Women's College,www.baiko.ac.jp
426,Baitulmal Management Institute (IPB),www.ipb.edu.my
427,Bakhtar University,www.bakhtar.edu.af
428,Bakht Er-Ruda University,www.bakhtalruda.edu.sd
429,Baki Business University,www.bbu.edu.az
430,Baku Slavic University,www.bsu-edu.org
431,Baku State University,www.bsu.az
432,Balamand University,www.balamand.edu.lb
433,Balikesir University,www.balikesir.edu.tr
434,Balkh University,www.ba.edu.af
435,Ballsbridge University ,www.acedu.org
436,Balochistan University of Engineering and Technology Khuzdar,www.buetk.edu.pk
437,Balochistan University of Information Technology & Management Sciences ,www.buitms.edu.pk
439,Baltic International Academy,www.bsa.edu.lv
440,Baltic State Technical University,www.voenmeh.ru
441,"Balti State University ""Alecu Russo""",www.usb.md
442,Bamenda University of Science & Technology,www.bamendauniversity.com
443,Bamiyan University,www.bu.edu.af
444,Banaras Hindu University,www.bhu.ac.in
445,Banasthali University,www.banasthali.org
446,Banat's University of Agricultural Sciences,www.usab-tm.ro
447,Bangabandhu Sheikh Mujibur Rahman Agricultural University,www.bsmrau.edu.bd
448,Bangabandhu Sheikh Mujibur Rahman Medical University,www.bsmmu.edu.bd
449,Bangalore University,bengaluruuniversity.com
450,Bangkok University,www.bu.ac.th
451,Bangladesh Agricultural University,www.bau.edu.bd
452,Bangladesh Open University,www.bou.edu.bd
453,Bangladesh University,www.bu.edu.bd
454,Bangladesh University of Business & Technology,www.bubt.edu.bd
455,Bangladesh University of Engineering and Technology,www.buet.ac.bd
456,Bangladesh University of Professionals,www.bup.edu.bd
457,Bangladesh University of Textiles,www.butex.edu.bd
458,Banking University of Ho Chi Minh City,www.buh.edu.vn
459,Bankura University,www.bankurauniv.com
460,Baqai Medical University,baqai.freeyellow.com
461,Barcelona Graduate School of Economics,www.barcelonagse.eu
462,Baresan University,www.baresanuniversity.net
463,Bar-Ilan University,www.biu.ac.il
464,Barkatullah University,www.bubhopal.nic.in
465,Bashkir State Agrarian University,www.bashedu.ru
467,Bashkir State Pedagogical University named After M. Akmullah,www.bspu.ru
469,Basilicata University Potenza,www.unibas.it
470,Baskent University,www.baskent.edu.tr
471,Batchelor Institute of Indigenous Tertiary Education,www.nt.gov.au
472,Batterjee Medical College,www.bmc.edu.sa
473,"Bauchi State University, Gadau",www.basug.edu.ng
474,Bauhaus Universität Weimar,www.uni-weimar.de
475,Bauman Moscow State Technical University,www.bmstu.ru
476,Bayan College for Science & Technology,www.bayantech.edu
477,Bayerische Julius-Maximilians-Universität Würzburg,www.uni-wuerzburg.de
478,Bayero University Kano,www.buk.edu.ng
479,Baze University Abuja,www.bazeuniversity.edu.ng
480,Beder University,www.beder.edu.al
481,"Begum Rokeya University, Rangpur",www.brur.ac.bd
482,Beijing Foreign Studies University,www.bfsu.edu.cn
483,Beijing Forestry University,www.bjfu.edu.cn
484,Beijing Information Science and Technology University,www.biti.edu.cn
485,Beijing Institute of Technology,www.bit.edu.cn
486,Beijing International Studies University,www.bisu.edu.cn
487,Beijing Language and Culture University,www.blcu.edu.cn
488,Beijing Medical University,www.bjmu.edu.cn
489,Beijing New Asia University,www.newasia.bj.edu.cn
490,Beijing Normal University,www.bnu.edu.cn
491,Beijing Petroleum University,www.bjpeu.edu.cn
492,Beijing Polytechnic University,www.bjpu.edu.cn
493,Beijing Sport University,www.bsu.edu.cn
494,Beijing Union University,www.ipdbuu.com.cn
495,Beijing University of Aeronautics and Astronautics,www.buaa.edu.cn
496,Beijing University of Agriculture,www.bac.edu.cn
497,Beijing University of Chemical Technology,www.buct.edu.cn
498,Beijing University of Chinese Medicine and Pharmacology,www.bjucmp.edu.cn
499,Beijing University of Posts and Telecommunications,www.bupt.edu.cn
500,Beijing University of Science and Technology,www.ustb.edu.cn
501,Beirut Arab University,www.bau.edu.lb
502,Belarusian-Russian University,www.bru.mogilev.by
503,Belarussian National Technical University,www.bntu.by
504,Belarussian State Academy of Music,www.bgam.edu.by
505,Belarussian State Agrarian Technical University,www.batu.edu.by
506,Belarussian State Agricultural Academy,www.baa.by
507,Belarussian State Economic University,www.bseu.by
508,Belarussian State Medical University,www.bsmu.by
509,Belarussian State Pedagogical University M. Tanka,www.bspu.unibel.by
510,Belarussian State Polytechnical Academy,www.bspa.unibel.by
511,Belarussian State Technological University,www.bstu.unibel.by
512,Belarussian State University,www.bsu.by
513,Belarussian State University of Culture and Arts,www.buk.by
514,Belarussian State University of Informatics and Radioelectronics,www.bsuir.by
515,Belarussian State University of Transport,www.belsut.gomel.by
516,Belgorod State Agricultural Academy,www.bsaa.ru
517,Belgorod State Technical University,www.bstu.ru
518,Belgorod State University,www.bsu.edu.ru
519,Bells University of Technology,www.bellsuniversity.org
520,Benadir University,www.benadiruniversity.net
521,Benemerita Universidad Autónoma de Puebla,www.buap.mx
522,Bengal Engineering College,www.becs.ac.in
523,Benguet State University,www.bsu.edu.ph
524,Ben-Gurion University of the Negev,www.bgu.ac.il
525,Benha University,www.bu.edu.eg
526,Beni Suef University,www.bsu.edu.eg
527,Benson Idahosa University,www.biu.edu.ng
528,Benue State University,www.bsum.edu.ng
529,Beppu University,www.beppu-u.ac.jp
530,Bergen University College,www.hib.no
531,Bergische Universität Gesamthochschule Wuppertal,www.uni-wuppertal.de
532,Berhampur University,www.bamu.nic.in
533,Bermuda College,www.bercol.bm
534,Bethlehem University,www.bethlehem.edu
535,Beykent University,www.beykent.edu.tr
536,Bezalel Academy of Art and Design,www.bezalel.ac.il
537,"BGC Trust University, Bangladesh",www.bgctrustbd.org
538,Bhagwant University,www.bhagwantuniversity.com
539,Bharathiar University,www.bharathi.ernet.in
540,Bharathidasan University,www.bdu.ernet.in
541,Bharath Institue Of Higher Education & Research,www.bharathuniv.com
542,Bharati Vidyapeeth University,www.bharatividyapeeth.edu
543,Bhavnagar University,www.bhavuni.edu
544,Bhupendra Narayan Mandal University,www.bnmu.in
545,Bicol University,www.bicol-u.edu.ph
546,Bidhan Chandra Agricultural University,www.bckv.edu.in
547,Bifrost School of Business,www.bifrost.is
548,Biju Pattnaik University of Technology,www.bput.org
549,Bila Cerkva State Agrarian University,www.btsau.kiev.ua
550,Bilecik University,www.bilecik.edu.tr
551,Bilkent University,www.bilkent.edu.tr
552,Binary University College of Managemant & Entrepreneurship,www.binary.edu.my
553,Bindura University of Science Education,www.buse.ac.zw
554,Bingham University,www.binghamuni.edu.ng
555,Binh Duong University,www.bdu.edu.vn
556,Binus University,www.binus.ac.id
557,Bircham International University,www.bircham.edu
558,Birjand University,www.birjand.ac.ir
559,Birjand University of Medical Sciences,www.bums.ac.ir
560,"Birkbeck College, University of London",www.bbk.ac.uk
561,Birla Institute of Technology and Science,www.bits-pilani.ac.in
562,"Birla Institute of Technology, Ranchi",bitmesraranchi.org
563,Birmingham City University,www.bcu.ac.uk
564,Birsa Agricultural University,www.bau.nic.in
566,Birzeit University,www.birzeit.edu
567,Bishkek Humanities University,www.bhu.kg
568,Bishop's University,www.ubishops.ca
569,BiTS - Business and Information Technology School gGmbH,www.bits-iserlohn.de
570,Biysk State Padagogical University after V.M. Shukshin ,www.bigpi.biysk.ru
571,Blekinge Institute of Technology,www.bth.se
572,Blue Mountains Hotel School,www.hotelschool.com.au
573,Blue Nile University,www.bnu.edu.sd
574,Bodo Regional University,www.hibo.no
575,Bogazici University,www.boun.edu.tr
